zone_id,zone_name,province,category,is_uganda_border,is_kinshasa,lat,lon,area_km2
wTaqhPcijDM,Kikimi,Kinshasa,kinshasa,0,1,-4.438198692499924,15.431775597337694,15.961908667807286
cycttnJlR4L,Kimbanseke,Kinshasa,kinshasa,0,1,-4.440712184499972,15.370706507127895,21.51247216354189
NwNyAitXVsr,Kingabwa,Kinshasa,kinshasa,0,1,-4.359426107999951,15.355255532814844,10.835935271829507
ZTt8HbFGrY4,Kingasani,Kinshasa,kinshasa,0,1,-4.410570160499958,15.404068295638472,4.583111999936454
xZy8t34pvs6,Kinshasa,Kinshasa,kinshasa,0,1,-4.324893499999909,15.311940108713866,3.0900745984169533
oeP2sQLMCuy,Kintambo,Kinshasa,kinshasa,0,1,-4.340720039499928,15.26429380213548,3.847569364885606
Vv9L3W7VMrX,Kisenso,Kinshasa,kinshasa,0,1,-4.41744631149993,15.341841098277644,15.501015758350318
Ab6jrKWO5EZ,Kokolo,Kinshasa,kinshasa,0,1,-4.332607051999929,15.288155199958627,9.534144369469344
tCLXgZBBLQ0,Lemba,Kinshasa,kinshasa,0,1,-4.406973370499918,15.3142205514112,14.252765915478436
JhJFxKnFvmJ,Limete,Kinshasa,kinshasa,0,1,-4.360772980999968,15.333964764801987,12.294061294520642
qbe5m6fVfMT,Lingwala,Kinshasa,kinshasa,0,1,-4.327722247499935,15.299742947273511,2.7132562867837655
SqWL31RNyKx,Makala,Kinshasa,kinshasa,0,1,-4.382989281499931,15.309043422229504,5.18528154581203
tkbMhp2kIT2,Maluku 1,Kinshasa,kinshasa,0,1,-4.480221368499912,15.753681781164161,3476.2513466878268
nq4LAyXUm8a,Maluku 2,Kinshasa,kinshasa,0,1,-4.519272004499953,16.1682794793399,5252.8295213254205
F0zQH8NbaIx,Masina 1,Kinshasa,kinshasa,0,1,-4.3785082569999645,15.377845893098096,7.70486229437321
hL8oJfWHx3g,Masina 2,Kinshasa,kinshasa,0,1,-4.3854291429999535,15.401150482666292,6.996418667262332
UrJlHRGZGGJ,Matete,Kinshasa,kinshasa,0,1,-4.390413894999966,15.351981087711758,4.746809090540036
ubl3NORPhsC,Mont Ngafula 1,Kinshasa,kinshasa,0,1,-4.521928407999923,15.299416425126951,360.6531801382521
gMhYDNcoZSe,Mont Ngafula 2,Kinshasa,kinshasa,0,1,-4.422988238499869,15.198924789457948,100.29978408769375
rK2ODHilbAP,Ndjili,Kinshasa,kinshasa,0,1,-4.408223944999946,15.372842090817347,9.261487259764008
vvrhCzWzc0J,Ngaba,Kinshasa,kinshasa,0,1,-4.382201399999954,15.32283915931616,2.843351664130007
LSvg2jR0rEQ,Ngiri Ngiri,Kinshasa,kinshasa,0,1,-4.355493703499889,15.299128504889971,2.929504498694444
m0D9iUAjJ1G,Nsele,Kinshasa,kinshasa,0,1,-4.386835774499957,15.562919773971633,973.1696350777332
kyBo3gA8qoh,Police,Kinshasa,kinshasa,0,1,-4.402012737499945,15.432229956602242,1.8281472248808306
nbSOIch7Mbc,Selembao,Kinshasa,kinshasa,0,1,-4.397116271499954,15.284823531628419,20.16882749952434
VGFWIr5Rx1D,Boko Kivulu,Kongo Central,other,0,0,-5.57346,14.87427,
djWn21U4AVy,Boma,Kongo Central,other,0,0,-5.814469227499956,13.051532065003762,139.0621413018032
MjmIRJaAC1H,Gombe Matadi,Kongo Central,other,0,0,-5.080721161999975,14.587933963792228,2986.265473526506
DD5m0lzETfF,Inga,Kongo Central,other,0,0,-5.430542171999946,13.467383978393805,1582.1153156925889
bBTWb8cD9Z3,Kimpangu,Kongo Central,other,0,0,-5.707783053999947,14.933563202127903,1479.0106170696884
XXKTLp8q7wJ,Kimpese,Kongo Central,other,0,0,-5.435546087999938,14.355846060732782,3716.4708237142086
pZobW0wXW6e,Kisantu,Kongo Central,other,0,0,-5.1239402609999445,15.155396176892072,1369.9421526860715
ADqfcJ05GHD,Kitona,Kongo Central,other,0,0,-5.986122119999948,12.595165660642216,357.19049653347383
TQ5nmMVD9uY,Kizu,Kongo Central,other,0,0,-5.002919641499943,12.986301843942158,432.58259235274915
DZV9ipxIsg1,Kwilu Ngongo,Kongo Central,other,0,0,-5.4828365994999615,14.71403006940854,1807.6915331512562
KlQNBFiC8Cf,Lukula,Kongo Central,other,0,0,-5.424491701499932,12.869104565672245,2382.83124675832
yb4Q3Xo1EUo,Massa,Kongo Central,other,0,0,-4.61365425449992,15.52019267399993,1466.6390283363712
pFhuqRaXTSO,Matadi,Kongo Central,other,0,0,-5.839593884999914,13.441149401582214,104.42137987448044
PDfWsEoWLcy,Mbanza Ngungu,Kongo Central,other,0,0,-5.254139275999961,14.786941096468006,449.5541103083672
Zbg4fiy6f3t,Muanda,Kongo Central,other,0,0,-5.787843953499959,12.41974455257953,1250.1330798741544
n0NjjahdTLk,Nsona Mpangu,Kongo Central,other,0,0,-5.558333333499974,13.883555840532246,4611.756396813861
fWrUdkX9JEv,Seke Banza,Kongo Central,other,0,0,-5.239054418499933,13.298376735012273,2056.445105198506
eIpu2GCPTIP,Kasongo Lunda,Kwango,other,0,0,-6.49742411449995,16.966595118551425,4200.77595737196
Qx104OFTrS6,Kenge,Kwango,other,0,0,-4.717548677999957,17.26927467912555,5404.847073327934
Otc087GDtkQ,Popokabaka,Kwango,other,0,0,-5.51368026749995,16.3859704413529,6665.396139769573
KJPFKwgcqyd,Bandundu,Kwilu,other,0,0,-3.5170959719999644,17.42986611210275,1674.135078384411
e6Wpbl5nqcD,Bulungu,Kwilu,other,0,0,-4.599696200999944,18.900752420573276,3476.4788998306185
riGgtQ9beB5,Idiofa,Kwilu,other,0,0,-5.153002274499954,19.469541173513065,4874.8913808241705
GaaOhIJU3Bx,Kikwit Nord,Kwilu,other,0,0,-5.020011757999953,18.856951233295185,98.38050792384384
Y8Hlj8DpZHc,Kikwit Sud,Kwilu,other,0,0,-5.077188273999951,18.770813665447733,53.178604031698086
JRaVxSGfJ9Z,Mosango,Kwilu,other,0,0,-4.988277529499953,18.206429893074905,2606.3355843039826
S7r6j8vvjBa,Kabinda,Lomami,other,0,0,-6.229636626499911,24.236564320600458,5581.841101175621
gYjfhzYH5ra,Luputa,Lomami,other,0,0,-7.57128266599993,23.784416141912253,3601.282576637791
yft32K4WOYZ,Mweneditu,Lomami,other,0,0,-6.921692501499962,23.370458824687002,532.651593273077
mSQE0BqfXOy,Dilala,Lualaba,other,0,0,-10.56595,25.31263,
eWGgthNBOZ8,Fungurume,Lualaba,other,0,0,-10.61676,25.39089,
xMdqjEKgZLw,Manika,Lualaba,other,0,0,-10.55319,25.59871,
PIT5UiywHIa,Inongo,Maindombe,other,0,0,-1.8772216439999738,18.511527782998677,15048.164373869786
VOwZTRAt0Ak,Yumbi,Maindombe,other,0,0,-2.158577171999923,16.538992409025315,1534.3584435409653
w1BnPOcmluI,Alunguli,Maniema,other,0,0,-3.020675446414657,26.024483017627055,195.76179835275101
ncFyk9qnjro,Kabambare,Maniema,other,0,0,-4.623685341904945,27.99561533420968,11067.32374333937
ZHRREbCOGwG,Kailo,Maniema,other,0,0,-2.5544668167900397,25.750323592463644,21219.106872145538
IpT4QLSAYMK,Kalima,Maniema,other,0,0,-2.7039978645039753,26.59605594050379,3994.166428546552
y08g1DjhBXu,Kampene,Maniema,other,0,0,-3.485833333341617,26.6095498047581,5858.268962894312
MRRlnyr6MW6,Kasongo,Maniema,other,0,0,-4.4172916666270226,26.756955060290373,3088.1824790741516
FMXSE1MWvdO,Kibombo,Maniema,other,0,0,-4.10244360266454,25.882166495210825,10801.092626547937
lbUq2j3aRYh,Kindu,Maniema,other,0,0,-2.9686197496516513,25.911544044850647,167.83381032055598
MMeukZwYdI1,Kunda,Maniema,other,0,0,-3.910157702865619,26.75812425837136,6491.943804271202
HtQZ7yf79SN,Lubutu,Maniema,other,0,0,-0.5002085374000842,26.813096595730435,11565.998054985259
rmoJzmAeUZq,Lusangi,Maniema,other,0,0,-4.667705370456417,27.127449567719484,3481.745308150377
EyMlz2Qvcmt,Punia,Maniema,other,0,0,-1.7109325739644703,27.021513267430922,11190.99261098864
aPONdpnYXAn,Saramabila,Maniema,other,0,0,-4.154499774195159,27.50415344851599,4444.588392452198
a0M4XJunan2,Binga,Mongala,other,0,0,2.135990005500048,20.43132779233948,4668.87435627522
w70GpRgNj01,Boso Manzi,Mongala,other,0,0,2.8513175850001176,21.2257309810144,5758.920712245052
jm3dqXXoblR,Bosondjo,Mongala,other,0,0,1.56243,21.83212,
Xol9qIrf1Gi,Lisala,Mongala,other,0,0,1.6872,21.85598,
Kc3iE3HU6mA,Lolo,Mongala,other,0,0,1.49891,21.69213,
Yo6u0UIHrfc,Yamaluka,Mongala,other,0,0,1.56328,21.93361,
J1sz6yfmelr,Yambuku,Mongala,other,0,0,1.61938,21.79741,
GLky3WLKZTi,Alimbongo,Nord-Kivu,other,0,0,-0.2906046329999299,28.78743620988903,3265.818862901032
reOlSi4YUvZ,Bambo,Nord-Kivu,other,0,0,-1.2220086039999671,29.239371426531637,649.2604706985538
msg2MyMGhKv,Beni,Nord-Kivu,uganda_border,1,0,0.49317124866695505,29.51358389763662,620.2438444783323
TtaXlLIpy8b,Biena,Nord-Kivu,other,0,0,0.2338443975903819,28.988865922802674,1017.0337847622583
qa1TBnjJilP,Binza,Nord-Kivu,uganda_border,1,0,-0.7548501464999617,29.527299101090392,1230.3025481587786
foR0DRLqtdJ,Butembo,Nord-Kivu,other,0,0,0.14653425000037146,29.251277502423125,71.53046495520373
t8tjGKVhkl3,Goma,Nord-Kivu,uganda_border,1,0,-1.6528676989999553,29.17826328304752,29.697844618446503
bzo7dCPSXS2,Itebero,Nord-Kivu,other,0,0,-1.7132246024999631,28.10298042874261,5779.7268526432445
XoJ3dLz68aj,Kalunguta,Nord-Kivu,other,0,0,0.32661665000009066,29.346222520686638,873.3641900018048
vFJcnSDGQS0,Kamango,Nord-Kivu,uganda_border,1,0,0.6683953290001909,29.841217011554303,662.8350961841751
RSaqeeEezZl,Karisimbi,Nord-Kivu,other,0,0,-1.6356802754999364,29.182311810262014,36.95508811200937
Hxf5Q4aK6Ad,Katoyi,Nord-Kivu,other,0,0,-0.16881,29.44287,
woJBeEpIZdy,Katwa,Nord-Kivu,other,0,0,0.1198993135112445,29.32416416638681,85.25127828457865
ZLgC2OOesbS,Kayna,Nord-Kivu,other,0,0,-0.6449196039999663,29.133023685927405,1194.5310981651185
OKMskHnAdPh,Kibirizi,Nord-Kivu,other,0,0,-0.8682522914999709,29.182905589771003,1768.6834908724531
is2bUIOxBUG,Kibua,Nord-Kivu,other,0,0,-1.250416666499973,28.58253032614045,2798.8063312728846
xS36Jly2x2T,Kirotshe,Nord-Kivu,other,0,0,-1.5205243599999392,29.013674585815195,1050.0205462481397
amGiV9h9C2I,Kyondo,Nord-Kivu,other,0,0,0.01326616194717092,29.504202701174762,897.0871071794048
oTtGHeQSotN,Lubero,Nord-Kivu,other,0,0,-0.2711820729999488,29.337473243936046,1013.9639479178146
svtAZQ9nVl0,Mabalako,Nord-Kivu,other,0,0,0.5045215710000548,29.193929599486516,1018.3727412548907
IyDb5geWMDN,Manguredjipa,Nord-Kivu,other,0,0,0.3729444210001702,28.47143030637347,5555.377421342198
kQCMPbHKQ93,Masereka,Nord-Kivu,other,0,0,-0.10927556649997427,29.327512197678764,345.85656703675176
