zone_id,zone_name,province,prov_n,name_n,match_score,match_method,matched
ZxyZ7L3ynso,Bonzola,Kasaï Oriental,kasai oriental,bonzola,1.0,exact,True
f1b3q0aLFzW,Diulu,Kasaï Oriental,kasai oriental,diulu,1.0,exact,True
k7iudxSjdn7,Kabeya Kamwanga,Kasaï Oriental,kasai oriental,kabeya kamwanga,1.0,exact,True
HN9etyIXrEE,Kansele,Kasaï Oriental,kasai oriental,kansele,1.0,exact,True
ucEXrvC3lau,Lukelenge,Kasaï Oriental,kasai oriental,lukelenge,1.0,exact,True
BjbUZ5acV7t,Bandalungwa,Kinshasa,kinshasa,bandalungwa,1.0,exact,True
uw3SOxNTDP4,Barumbu,Kinshasa,kinshasa,barumbu,1.0,exact,True
ShcGSNMpF7z,Binza Meteo,Kinshasa,kinshasa,binza meteo,1.0,exact,True
m5B0okd0KaZ,Binza Ozone,Kinshasa,kinshasa,binza ozone,1.0,exact,True
QzpHCAKe31e,Biyela,Kinshasa,kinshasa,biyela,1.0,exact,True
sZ2goXLKmQX,Bumbu,Kinshasa,kinshasa,bumbu,1.0,exact,True
L3vMLScAbZ6,Gombe,Kinshasa,kinshasa,gombe,1.0,exact,True
D1jF9OzETge,Kalamu 1,Kinshasa,kinshasa,kalamu 1,1.0,exact,True
Z3DMBdrM8Df,Kalamu 2,Kinshasa,kinshasa,kalamu 2,1.0,exact,True
TuzDrpZ9zzl,Kasa Vubu,Kinshasa,kinshasa,kasa vubu,1.0,exact,True
wTaqhPcijDM,Kikimi,Kinshasa,kinshasa,kikimi,1.0,exact,True
cycttnJlR4L,Kimbanseke,Kinshasa,kinshasa,kimbanseke,1.0,exact,True
NwNyAitXVsr,Kingabwa,Kinshasa,kinshasa,kingabwa,1.0,exact,True
ZTt8HbFGrY4,Kingasani,Kinshasa,kinshasa,kingasani,1.0,exact,True
xZy8t34pvs6,Kinshasa,Kinshasa,kinshasa,kinshasa,1.0,exact,True
oeP2sQLMCuy,Kintambo,Kinshasa,kinshasa,kintambo,1.0,exact,True
Vv9L3W7VMrX,Kisenso,Kinshasa,kinshasa,kisenso,0.9333333333333333,fuzzy,True
Ab6jrKWO5EZ,Kokolo,Kinshasa,kinshasa,kokolo,1.0,exact,True
tCLXgZBBLQ0,Lemba,Kinshasa,kinshasa,lemba,1.0,exact,True
JhJFxKnFvmJ,Limete,Kinshasa,kinshasa,limete,1.0,exact,True
qbe5m6fVfMT,Lingwala,Kinshasa,kinshasa,lingwala,1.0,exact,True
SqWL31RNyKx,Makala,Kinshasa,kinshasa,makala,1.0,exact,True
tkbMhp2kIT2,Maluku 1,Kinshasa,kinshasa,maluku 1,1.0,exact,True
nq4LAyXUm8a,Maluku 2,Kinshasa,kinshasa,maluku 2,1.0,exact,True
F0zQH8NbaIx,Masina 1,Kinshasa,kinshasa,masina 1,1.0,exact,True
hL8oJfWHx3g,Masina 2,Kinshasa,kinshasa,masina 2,1.0,exact,True
UrJlHRGZGGJ,Matete,Kinshasa,kinshasa,matete,1.0,exact,True
ubl3NORPhsC,Mont Ngafula 1,Kinshasa,kinshasa,mont ngafula 1,1.0,exact,True
gMhYDNcoZSe,Mont Ngafula 2,Kinshasa,kinshasa,mont ngafula 2,1.0,exact,True
rK2ODHilbAP,Ndjili,Kinshasa,kinshasa,ndjili,1.0,exact,True
vvrhCzWzc0J,Ngaba,Kinshasa,kinshasa,ngaba,1.0,exact,True
LSvg2jR0rEQ,Ngiri Ngiri,Kinshasa,kinshasa,ngiri ngiri,1.0,exact,True
m0D9iUAjJ1G,Nsele,Kinshasa,kinshasa,nsele,1.0,exact,True
kyBo3gA8qoh,Police,Kinshasa,kinshasa,police,1.0,exact,True
nbSOIch7Mbc,Selembao,Kinshasa,kinshasa,selembao,1.0,exact,True
VGFWIr5Rx1D,Boko Kivulu,Kongo Central,kongo central,boko kivulu,,,False
djWn21U4AVy,Boma,Kongo Central,kongo central,boma,1.0,exact,True
vquecO03tD0,Boma Bungu,Kongo Central,kongo central,boma bungu,1.0,exact,True
MjmIRJaAC1H,Gombe Matadi,Kongo Central,kongo central,gombe matadi,1.0,exact,True
DD5m0lzETfF,Inga,Kongo Central,kongo central,inga,1.0,exact,True
bV04pTUIL8A,Kangu,Kongo Central,kongo central,kangu,1.0,exact,True
bBTWb8cD9Z3,Kimpangu,Kongo Central,kongo central,kimpangu,1.0,exact,True
XXKTLp8q7wJ,Kimpese,Kongo Central,kongo central,kimpese,1.0,exact,True
pZobW0wXW6e,Kisantu,Kongo Central,kongo central,kisantu,1.0,exact,True
ADqfcJ05GHD,Kitona,Kongo Central,kongo central,kitona,1.0,exact,True
TQ5nmMVD9uY,Kizu,Kongo Central,kongo central,kizu,1.0,exact,True
ZekPSH5fUQ0,Kuimba,Kongo Central,kongo central,kuimba,1.0,exact,True
DZV9ipxIsg1,Kwilu Ngongo,Kongo Central,kongo central,kwilu ngongo,1.0,exact,True
KlQNBFiC8Cf,Lukula,Kongo Central,kongo central,lukula,1.0,exact,True
yb4Q3Xo1EUo,Massa,Kongo Central,kongo central,massa,0.8888888888888888,fuzzy,True
pFhuqRaXTSO,Matadi,Kongo Central,kongo central,matadi,1.0,exact,True
PDfWsEoWLcy,Mbanza Ngungu,Kongo Central,kongo central,mbanza ngungu,1.0,exact,True
Zbg4fiy6f3t,Muanda,Kongo Central,kongo central,muanda,1.0,exact,True
fuiphWnOGii,Ngidinga,Kongo Central,kongo central,ngidinga,1.0,exact,True
n0NjjahdTLk,Nsona Mpangu,Kongo Central,kongo central,nsona mpangu,0.9565217391304348,fuzzy,True
